NOME,ANO,PONTO_VIRADA,FASE,TURMA,PEDRA,INDE,IAA,IEG,IPS,IDA,IPP,IPV,IAN,IDADE
ALUNO-106,2020,0,0,H,Ametista,8.45,9.5,10.0,7.5,10.0,7.5,7.5,5.0,10.0
ALUNO-111,2020,0,3,L,Ágata,6.85,7.92,7.7,7.5,4.5,7.97,7.88,5.0,14.0
ALUNO-112,2020,0,3,H,Ágata,6.45,7.92,6.8,4.38,5.33,7.71,7.61,5.0,14.0
ALUNO-113,2020,0,1,M,Ametista,7.69,8.5,8.8,7.5,7.5,7.5,7.92,5.0,11.0
ALUNO-115,2020,0,4,A,Quartzo,5.33,9.17,1.9,6.88,5.17,7.92,5.11,5.0,15.0
ALUNO-117,2020,0,1,M,Ametista,8.03,8.0,8.9,7.5,9.5,7.19,7.92,5.0,10.0
ALUNO-118,2020,0,1,D,Ametista,8.34,8.5,7.7,7.5,10.0,7.19,7.42,10.0,8.0
ALUNO-120,2020,0,0,A,Ametista,7.9,9.0,10.0,8.12,9.5,2.5,7.67,5.0,9.0
ALUNO-125,2020,0,1,C,Ágata,7.19,9.0,9.0,7.5,5.0,7.71,7.33,5.0,10.0
ALUNO-128,2020,0,0,G,Quartzo,5.85,7.42,10.0,5.62,5.5,2.5,3.5,5.0,9.0
ALUNO-132,2020,0,4,F,Ametista,7.34,8.75,6.5,7.5,6.0,8.28,6.96,10.0,14.0
ALUNO-133,2020,0,0,D,Ametista,8.43,10.0,9.8,7.5,10.0,7.19,7.5,5.0,10.0
ALUNO-135,2020,0,1,A,Ametista,7.8,9.0,8.4,7.5,6.5,7.19,7.25,10.0,9.0
ALUNO-136,2020,0,5,A,Quartzo,4.64,7.5,4.0,4.38,2.0,6.67,5.44,5.0,16.0
ALUNO-139,2020,0,5,L,Ágata,6.11,9.17,5.8,7.5,4.33,8.12,5.5,5.0,17.0
ALUNO-145,2020,1,7,B,Ametista,8.35,7.92,9.1,7.5,7.33,7.5,8.83,10.0,17.0
ALUNO-146,2020,0,1,C,Ágata,6.39,10.0,7.2,7.5,0.0,7.29,7.33,10.0,9.0
ALUNO-147,2020,0,2,C,Quartzo,5.93,9.0,8.0,7.5,0.0,7.29,7.28,5.0,13.0
ALUNO-149,2020,0,6,B,Ágata,7.13,7.5,8.7,5.62,3.0,8.12,8.33,10.0,16.0
ALUNO-151,2020,0,1,R,Ametista,8.24,9.5,9.5,7.5,7.5,9.17,8.61,5.0,11.0
ALUNO-152,2020,0,3,B,Ametista,7.96,6.25,9.0,7.5,6.33,7.97,8.63,10.0,11.0
ALUNO-153,2020,1,4,F,Ametista,8.17,10.0,9.0,7.5,4.67,8.59,9.13,10.0,13.0
ALUNO-154,2020,0,1,M,Quartzo,5.88,8.5,7.1,7.5,0.0,7.81,7.92,5.0,10.0
ALUNO-156,2020,0,2,J,Ágata,7.11,7.92,8.9,7.5,5.0,6.67,8.11,5.0,12.0
ALUNO-157,2020,0,1,H,Ágata,7.18,9.5,6.4,7.5,6.75,7.92,7.78,5.0,10.0
ALUNO-158,2020,0,3,E,Quartzo,6.06,9.17,5.9,3.75,5.0,7.71,6.61,5.0,14.0
ALUNO-160,2020,0,1,H,Quartzo,4.48,8.0,2.3,5.0,0.0,7.29,7.44,5.0,10.0
ALUNO-161,2020,0,8,A,Ametista,8.89,7.92,10.0,7.5,9.0,0.0,0.0,10.0,18.0
ALUNO-162,2020,0,1,B,Ametista,7.95,8.5,8.8,7.5,8.5,8.44,7.75,5.0,10.0
ALUNO-163,2020,0,1,G,Ágata,6.44,7.5,8.2,5.0,6.25,2.5,7.75,5.0,12.0
ALUNO-164,2020,0,1,D,Ametista,7.71,9.5,8.7,7.5,7.5,7.19,7.75,5.0,10.0
ALUNO-165,2020,0,0,G,Ametista,8.43,9.0,10.0,7.5,10.0,7.81,7.5,5.0,11.0
ALUNO-168,2020,0,1,J,Ametista,8.08,10.0,8.8,7.5,8.5,7.5,8.11,5.0,11.0
ALUNO-169,2020,0,0,E,Ametista,7.8,9.0,10.0,5.0,10.0,2.5,5.75,10.0,8.0
ALUNO-173,2020,0,5,G,Quartzo,3.74,7.92,0.9,3.12,2.83,5.62,4.13,5.0,16.0
ALUNO-174,2020,0,5,X,Ametista,7.92,9.17,10.0,5.62,7.2,0.0,0.0,10.0,15.0
ALUNO-183,2020,0,0,E,Ametista,7.86,9.0,10.0,8.12,10.0,2.5,7.0,5.0,11.0
ALUNO-184,2020,0,1,H,Ametista,8.26,10.0,8.3,7.5,7.5,7.92,7.78,10.0,9.0
ALUNO-186,2020,0,3,J,Ágata,6.31,8.75,5.8,7.5,5.67,8.12,6.67,2.5,16.0
ALUNO-187,2020,0,2,G,Ágata,6.41,8.5,8.0,7.5,0.0,7.92,7.11,10.0,10.0
ALUNO-188,2020,1,3,C,Ametista,7.74,7.08,4.7,7.5,9.0,8.12,8.67,10.0,13.0
ALUNO-189,2020,0,1,C,Ágata,7.26,8.0,8.3,5.0,8.0,7.29,7.33,5.0,10.0
ALUNO-190,2020,1,7,B,Topázio,8.73,8.33,9.2,6.88,7.67,9.06,9.67,10.0,17.0
ALUNO-192,2020,0,1,H,Quartzo,4.85,7.42,5.1,5.0,0.0,6.04,7.44,5.0,11.0
ALUNO-193,2020,1,3,F,Topázio,8.54,10.0,9.8,5.0,7.0,8.12,9.33,10.0,13.0
ALUNO-194,2020,0,6,A,Ágata,7.12,8.33,8.3,6.88,6.33,7.66,7.04,5.0,17.0
ALUNO-197,2020,0,3,F,Topázio,8.83,8.33,9.6,7.5,8.67,8.96,8.5,10.0,12.0
ALUNO-198,2020,0,6,A,Quartzo,5.52,0.0,6.1,5.62,4.5,5.78,6.29,10.0,16.0
ALUNO-199,2020,0,3,C,Ágata,6.66,6.25,4.8,7.5,7.67,8.12,7.39,5.0,14.0
ALUNO-200,2020,0,4,F,Ametista,7.36,7.92,5.8,7.5,5.67,8.12,8.54,10.0,13.0
ALUNO-201,2020,0,3,L,Ametista,7.72,7.08,9.4,7.5,8.0,7.97,7.42,5.0,14.0
ALUNO-202,2020,0,2,R,Quartzo,3.78,0.0,2.9,6.88,0.0,6.46,6.83,5.0,12.0
ALUNO-206,2020,0,6,B,Quartzo,5.22,0.0,4.3,7.5,2.0,7.81,7.12,10.0,16.0
ALUNO-208,2020,0,2,D,Ametista,7.84,9.0,9.4,7.5,5.0,8.12,7.5,10.0,11.0
ALUNO-209,2020,1,0,H,Topázio,9.08,9.5,10.0,6.25,10.0,10.0,10.0,5.0,9.0
ALUNO-210,2020,0,5,B,Ametista,8.21,10.0,9.1,7.5,5.67,8.54,8.28,10.0,13.0
ALUNO-212,2020,0,0,H,Ágata,6.35,7.42,10.0,4.38,7.0,2.5,2.58,10.0,8.0
ALUNO-213,2020,0,2,P,Ametista,8.08,9.0,9.7,5.0,9.0,8.75,7.83,5.0,12.0
ALUNO-215,2020,0,1,A,Topázio,8.87,9.5,9.3,7.5,10.0,7.81,7.67,10.0,9.0
ALUNO-216,2020,0,8,A,Quartzo,5.96,8.75,0.0,5.62,7.4,0.0,0.0,10.0,18.0
ALUNO-217,2020,1,1,B,Topázio,8.94,8.0,9.4,7.5,9.5,8.12,9.0,10.0,9.0
ALUNO-219,2020,0,2,M,Ametista,7.83,9.5,7.9,8.75,5.0,8.44,7.92,10.0,11.0
ALUNO-222,2020,0,1,F,Topázio,8.48,9.0,7.8,7.5,9.5,7.19,8.25,10.0,8.0
ALUNO-223,2020,0,1,E,Ágata,6.59,9.0,5.2,6.88,5.0,8.54,8.06,5.0,10.0
ALUNO-225,2020,0,4,B,Topázio,8.85,9.58,9.7,7.5,8.33,8.75,8.28,10.0,14.0
ALUNO-226,2020,0,2,G,Ametista,7.85,8.5,7.4,5.62,7.5,8.12,8.22,10.0,11.0
ALUNO-227,2020,0,3,L,Quartzo,5.98,8.75,3.0,7.5,6.33,7.81,6.04,5.0,15.0
ALUNO-229,2020,0,1,H,Quartzo,5.89,7.33,7.8,7.5,0.0,7.92,7.78,5.0,10.0
ALUNO-230,2020,0,3,G,Quartzo,5.0,8.75,6.1,4.38,2.33,5.83,4.61,5.0,14.0
ALUNO-231,2020,0,6,C,Quartzo,5.96,8.33,3.7,5.0,4.33,7.03,6.58,10.0,16.0
ALUNO-235,2020,0,3,B,Ametista,8.13,8.33,9.0,7.5,7.67,7.5,7.29,10.0,12.0
ALUNO-238,2020,0,2,H,Ágata,6.49,9.0,8.4,5.0,4.0,5.62,7.75,5.0,13.0
ALUNO-241,2020,0,1,G,Ametista,7.29,9.0,8.8,6.25,9.5,2.5,6.75,5.0,11.0
ALUNO-242,2020,0,1,G,Ágata,6.71,9.0,7.4,6.25,5.5,7.19,6.92,5.0,11.0
ALUNO-246,2020,0,1,J,Ametista,7.64,9.5,8.3,6.88,8.0,7.08,7.67,5.0,10.0
ALUNO-251,2020,0,1,N,Topázio,8.58,8.5,8.9,7.5,10.0,7.29,7.33,10.0,9.0
ALUNO-259,2020,1,7,B,Topázio,8.75,9.17,9.1,7.5,7.67,8.75,9.29,10.0,17.0
ALUNO-261,2020,0,3,A,Ágata,7.25,9.17,8.8,7.5,6.33,7.5,7.79,2.5,16.0
ALUNO-262,2020,1,5,F,Ametista,8.22,7.92,9.2,5.0,6.67,9.06,9.25,10.0,15.0
ALUNO-263,2020,0,5,B,Ametista,8.39,9.58,9.5,6.88,6.33,8.96,8.39,10.0,15.0
ALUNO-265,2020,0,4,A,Ametista,7.63,8.75,10.0,6.88,6.0,8.12,7.78,5.0,15.0
ALUNO-266,2020,0,1,B,Ametista,8.34,8.5,8.9,5.62,8.5,8.44,8.0,10.0,9.0
ALUNO-267,2020,1,3,J,Ametista,8.37,9.17,9.7,5.62,8.0,8.96,9.78,5.0,14.0
ALUNO-269,2020,0,1,J,Ágata,7.1,7.5,8.6,7.5,5.75,7.29,7.5,5.0,11.0
ALUNO-270,2020,0,3,C,Ágata,7.19,6.67,4.2,4.38,8.67,8.12,8.5,10.0,11.0
ALUNO-273,2020,0,1,R,Quartzo,4.39,9.0,4.4,7.5,0.0,7.29,4.39,2.5,14.0
ALUNO-274,2020,0,5,A,Ágata,6.11,7.92,5.6,7.5,3.67,7.29,7.44,5.0,16.0
ALUNO-275,2020,0,3,M,Ágata,6.4,10.0,5.2,7.5,4.33,6.09,5.67,10.0,13.0
ALUNO-277,2020,0,1,E,Ametista,8.02,9.5,8.4,5.62,10.0,7.71,7.78,5.0,12.0
ALUNO-278,2020,0,5,L,Ametista,8.24,8.75,9.6,9.38,7.33,8.75,8.33,5.0,17.0
ALUNO-280,2020,0,1,F,Ágata,6.65,8.5,6.2,5.0,6.5,6.56,8.0,5.0,10.0
ALUNO-284,2020,0,3,A,Ametista,7.9,7.92,9.9,7.5,7.67,7.97,7.75,5.0,14.0
ALUNO-285,2020,0,2,D,Quartzo,5.11,9.5,0.0,7.5,1.0,8.12,7.0,10.0,11.0
ALUNO-286,2020,0,1,G,Ágata,6.96,8.0,6.0,6.88,7.5,7.19,7.75,5.0,12.0
ALUNO-287,2020,1,2,H,Ametista,8.3,7.42,8.5,7.5,7.5,8.44,8.83,10.0,11.0
ALUNO-288,2020,0,2,C,Ágata,6.84,9.0,7.7,7.5,3.75,8.33,7.83,5.0,12.0
ALUNO-292,2020,1,4,B,Topázio,8.49,10.0,9.9,6.88,7.67,8.96,9.44,5.0,15.0
ALUNO-293,2020,0,5,F,Quartzo,4.42,6.67,1.3,4.38,0.0,7.19,6.67,10.0,14.0
ALUNO-295,2020,0,1,D,Ametista,7.59,9.0,8.9,4.38,7.25,4.69,7.75,10.0,9.0
ALUNO-296,2020,0,2,B,Ametista,7.71,9.0,8.9,7.5,5.0,7.5,7.67,10.0,10.0
ALUNO-297,2020,0,3,J,Ágata,7.2,8.33,8.7,4.38,6.0,8.12,8.39,5.0,15.0
ALUNO-298,2020,0,1,G,Ágata,6.34,8.5,6.6,5.0,6.5,5.0,6.83,5.0,11.0
ALUNO-299,2020,0,8,A,Ametista,8.39,5.83,10.0,5.62,9.2,0.0,0.0,10.0,19.0
ALUNO-300,2020,0,8,A,Ágata,6.78,9.17,0.0,7.5,8.4,0.0,0.0,10.0,18.0
ALUNO-301,2020,0,1,J,Topázio,8.85,10.0,9.2,7.5,9.5,7.92,7.83,10.0,9.0
ALUNO-305,2020,0,2,J,Ametista,7.36,8.5,8.3,7.5,6.5,6.46,8.28,5.0,13.0
ALUNO-306,2020,0,7,B,Quartzo,3.89,6.67,1.4,4.38,0.0,5.16,4.96,10.0,17.0
ALUNO-309,2020,0,1,G,Ametista,8.2,8.5,6.5,7.5,10.0,7.5,7.75,10.0,9.0
ALUNO-312,2020,0,2,J,Topázio,8.51,10.0,9.1,7.5,8.5,5.83,8.28,10.0,11.0
ALUNO-313,2020,0,0,F,Ametista,7.9,7.5,10.0,7.5,6.5,7.5,6.75,10.0,8.0
ALUNO-315,2020,1,4,A,Topázio,9.46,9.17,10.0,9.38,8.67,8.96,9.89,10.0,13.0
ALUNO-316,2020,0,2,M,Ágata,6.43,7.42,7.7,7.5,0.0,8.12,7.92,10.0,11.0
ALUNO-318,2020,0,0,B,Ametista,8.3,9.0,10.0,7.5,10.0,7.5,7.0,5.0,9.0
ALUNO-319,2020,0,2,B,Ágata,7.18,9.0,9.5,7.5,2.0,7.5,7.42,10.0,11.0
ALUNO-321,2020,0,6,A,Quartzo,4.92,4.58,2.0,7.5,2.0,6.41,6.33,10.0,16.0
ALUNO-323,2020,0,1,B,Quartzo,6.05,8.0,9.1,5.0,4.5,2.5,6.42,5.0,11.0
ALUNO-324,2020,0,6,A,Ametista,8.06,8.75,7.9,7.5,6.67,8.59,8.33,10.0,16.0
ALUNO-328,2020,0,3,M,Ágata,6.86,7.5,4.1,7.5,9.0,7.97,7.21,5.0,14.0
ALUNO-329,2020,0,7,B,Ametista,7.98,7.92,8.6,7.5,7.0,7.97,7.62,10.0,17.0
ALUNO-330,2020,0,1,F,Ametista,7.68,8.0,7.9,7.5,8.5,7.5,8.0,5.0,10.0
ALUNO-332,2020,0,1,H,Ametista,8.26,9.5,9.2,7.5,10.0,7.29,7.44,5.0,12.0
ALUNO-335,2020,0,0,B,Ametista,7.47,8.5,10.0,4.38,9.5,2.5,5.17,10.0,8.0
ALUNO-337,2020,1,5,B,Topázio,8.95,8.33,9.9,10.0,7.0,9.17,9.11,10.0,14.0
ALUNO-338,2020,0,7,A,Quartzo,5.91,8.33,2.1,7.5,4.33,7.34,6.54,10.0,17.0
ALUNO-339,2020,0,3,C,Ametista,8.14,9.17,9.7,7.5,7.33,8.75,8.44,5.0,14.0
ALUNO-340,2020,0,3,C,Ametista,7.6,8.33,9.4,7.5,7.0,8.54,6.89,5.0,14.0
ALUNO-341,2020,0,8,A,Topázio,9.1,9.17,10.0,7.5,9.2,0.0,0.0,10.0,19.0
ALUNO-342,2020,0,2,B,Ametista,8.13,9.0,9.2,5.62,8.0,5.31,8.5,10.0,11.0
ALUNO-343,2020,1,3,J,Ametista,7.58,7.5,8.1,7.5,8.0,8.12,9.0,2.5,16.0
ALUNO-344,2020,0,6,A,Quartzo,4.35,0.0,3.8,5.0,0.0,6.72,7.08,10.0,16.0
ALUNO-345,2020,0,0,F,Topázio,8.5,8.5,10.0,7.5,10.0,7.5,5.75,10.0,8.0
ALUNO-346,2020,0,1,A,Ametista,8.42,9.0,8.0,7.5,9.5,7.19,7.75,10.0,8.0
ALUNO-348,2020,0,0,D,Ametista,7.79,9.5,10.0,6.25,9.5,2.5,7.83,5.0,9.0
ALUNO-349,2020,1,0,C,Topázio,9.2,9.5,10.0,7.5,10.0,10.0,10.0,5.0,10.0
ALUNO-353,2020,0,2,G,Ágata,7.17,10.0,8.3,6.25,6.0,7.92,6.94,5.0,12.0
ALUNO-354,2020,0,4,F,Quartzo,4.66,9.17,3.4,4.38,0.0,7.97,6.62,5.0,15.0
ALUNO-355,2020,0,1,N,Ágata,6.41,7.5,8.1,5.0,4.0,7.71,7.33,5.0,11.0
ALUNO-359,2020,0,2,F,Ametista,8.18,8.5,9.3,7.5,7.0,7.71,7.72,10.0,10.0
ALUNO-361,2020,0,1,F,Quartzo,5.67,9.0,4.3,5.62,0.0,8.12,7.67,10.0,9.0
ALUNO-364,2020,0,1,B,Ametista,7.81,9.0,9.9,4.38,7.5,5.62,7.17,10.0,9.0
ALUNO-365,2020,1,5,G,Ametista,8.4,9.58,9.6,5.0,6.67,8.59,9.13,10.0,15.0
ALUNO-367,2020,0,3,F,Ametista,8.33,9.17,9.4,7.5,6.67,8.12,8.17,10.0,13.0
ALUNO-368,2020,0,8,A,Ametista,8.7,8.75,10.0,7.5,8.3,0.0,0.0,10.0,18.0
ALUNO-370,2020,1,3,G,Topázio,8.61,8.75,9.9,7.5,6.5,8.75,9.17,10.0,13.0
ALUNO-371,2020,0,7,B,Ametista,7.38,7.92,7.8,5.0,7.33,5.78,7.42,10.0,17.0
ALUNO-372,2020,0,2,E,Ágata,6.82,9.0,8.0,5.0,6.0,7.5,6.83,5.0,12.0
ALUNO-373,2020,0,3,M,Ágata,6.22,8.75,5.0,5.62,5.67,8.12,6.67,5.0,14.0
ALUNO-375,2020,1,2,B,Topázio,9.34,9.0,9.5,7.5,9.5,9.69,9.58,10.0,10.0
ALUNO-377,2020,0,3,G,Ametista,7.41,9.58,6.7,4.38,6.0,8.54,8.11,10.0,11.0
ALUNO-378,2020,0,5,G,Ametista,7.97,7.92,9.7,3.75,7.0,8.12,8.25,10.0,15.0
ALUNO-379,2020,0,3,H,Quartzo,5.68,10.0,6.6,5.0,4.17,5.62,4.83,5.0,14.0
ALUNO-380,2020,0,8,A,Quartzo,5.4,0.0,0.0,4.38,8.8,0.0,0.0,10.0,19.0
ALUNO-381,2020,0,0,D,Ágata,6.44,9.5,9.8,2.5,8.5,2.5,4.17,5.0,9.0
ALUNO-382,2020,0,8,A,Ametista,8.85,8.33,10.0,6.88,9.1,0.0,0.0,10.0,18.0
ALUNO-383,2020,0,0,E,Ametista,7.92,9.5,10.0,6.88,7.5,7.81,7.5,5.0,10.0
ALUNO-385,2020,0,3,R,Ametista,7.34,8.75,8.6,7.5,6.0,7.71,7.61,5.0,14.0
ALUNO-387,2020,0,2,R,Ágata,6.29,9.0,5.6,4.38,6.0,6.88,7.22,5.0,13.0
ALUNO-388,2020,0,2,C,Ágata,7.04,8.0,8.8,7.5,5.5,6.88,7.22,5.0,12.0
ALUNO-389,2020,1,5,A,Ametista,8.4,8.33,9.0,7.5,9.33,8.54,9.0,5.0,16.0
ALUNO-390,2020,0,5,A,Ametista,7.43,8.33,5.3,7.5,7.67,7.71,7.39,10.0,15.0
ALUNO-393,2020,0,2,F,Ágata,7.21,9.0,7.5,6.88,4.25,7.08,7.83,10.0,11.0
ALUNO-394,2020,0,4,F,Quartzo,5.93,7.5,5.3,5.0,6.33,6.25,6.17,5.0,15.0
ALUNO-396,2020,0,4,A,Ametista,7.45,7.5,9.1,7.5,8.0,8.12,6.11,5.0,15.0
ALUNO-397,2020,0,3,B,Ametista,7.69,9.17,9.5,4.38,6.67,7.5,6.75,10.0,12.0
ALUNO-399,2020,0,2,P,Quartzo,4.23,0.0,4.6,6.88,0.0,7.71,6.78,5.0,12.0
ALUNO-400,2020,0,1,C,Quartzo,4.86,9.0,4.3,3.75,0.0,7.29,7.5,5.0,10.0
ALUNO-401,2020,0,3,L,Ametista,8.41,9.58,9.9,7.5,6.17,7.97,8.46,10.0,13.0
ALUNO-404,2020,0,3,L,Ametista,8.32,10.0,9.9,4.38,6.67,8.59,8.54,10.0,13.0
ALUNO-406,2020,0,1,D,Ametista,7.98,9.0,8.8,7.5,9.5,7.19,7.25,5.0,10.0
ALUNO-407,2020,1,3,L,Ametista,8.29,5.83,9.9,5.0,7.67,8.59,9.17,10.0,13.0
ALUNO-408,2020,0,0,C,Topázio,9.32,9.0,10.0,10.0,10.0,7.5,8.33,10.0,8.0
ALUNO-414,2020,0,2,P,Quartzo,5.77,6.92,8.0,7.5,0.0,8.54,6.89,5.0,14.0
ALUNO-416,2020,0,2,G,Ametista,7.78,9.0,9.7,6.25,7.0,7.71,8.22,5.0,13.0
ALUNO-421,2020,0,3,A,Ágata,7.14,9.58,5.9,7.5,7.67,7.66,7.25,5.0,15.0
ALUNO-424,2020,0,1,G,Ametista,7.91,9.0,8.8,7.5,9.0,7.19,7.42,5.0,12.0
ALUNO-425,2020,0,3,H,Ágata,7.13,8.75,6.2,7.5,7.33,6.67,5.67,10.0,13.0
ALUNO-426,2020,0,1,K,Ágata,6.65,8.0,6.5,7.5,5.0,7.29,7.83,5.0,10.0
ALUNO-431,2020,0,0,F,Ágata,6.81,9.5,9.8,6.88,8.5,2.5,3.83,5.0,9.0
ALUNO-435,2020,0,4,B,Ametista,7.31,7.5,8.8,7.5,5.33,8.75,8.06,5.0,16.0
